date,day_of_week,time
4/16/2020,5,41
4/17/2020,6,37
4/18/2020,7,457
4/19/2020,1,43
4/20/2020,2,69
4/21/2020,3,47
4/22/2020,4,104
4/23/2020,5,31
4/24/2020,6,60
4/25/2020,7,220
4/26/2020,1,44
4/27/2020,2,70
4/28/2020,3,29
4/29/2020,4,34
4/30/2020,5,89
5/1/2020,6,21
5/2/2020,7,71
5/3/2020,1,40
5/4/2020,2,36
5/5/2020,3,39
5/6/2020,4,25
5/7/2020,5,45
5/8/2020,6,51
5/9/2020,7,425
5/10/2020,1,28
5/11/2020,2,32
5/12/2020,3,31
5/13/2020,4,37
5/14/2020,5,39
5/15/2020,6,136
5/16/2020,7,137
5/17/2020,1,78
5/18/2020,2,34
5/19/2020,3,83
5/20/2020,4,38
5/21/2020,5,87
5/22/2020,6,36
5/23/2020,7,106
5/24/2020,1,33
5/25/2020,2,257
5/26/2020,3,48
5/27/2020,4,41
5/28/2020,5,109
5/29/2020,6,43
5/30/2020,7,141
5/31/2020,1,56
6/1/2020,2,46
6/2/2020,3,122
6/3/2020,4,85
6/4/2020,5,85
6/5/2020,6,57
6/6/2020,7,181
6/7/2020,1,76
6/8/2020,2,51
6/9/2020,3,253
6/10/2020,4,77
6/11/2020,5,61
6/12/2020,6,70
6/13/2020,7,160
6/14/2020,1,63
6/15/2020,2,63
6/16/2020,3,59
6/17/2020,4,29
6/18/2020,5,31
6/19/2020,6,42
6/20/2020,7,166
6/21/2020,1,53
6/22/2020,2,22
6/23/2020,3,35
6/24/2020,4,71
6/25/2020,5,30
6/26/2020,6,27
6/27/2020,7,87
6/28/2020,1,48
6/29/2020,2,38
6/30/2020,3,35
7/1/2020,4,28
7/2/2020,5,61
7/3/2020,6,56
7/4/2020,7,48
7/5/2020,1,27
7/6/2020,2,163
7/7/2020,3,96
7/8/2020,4,63
7/9/2020,5,21
7/10/2020,6,32
7/11/2020,7,77
7/12/2020,1,111
7/13/2020,2,30
7/14/2020,3,49
7/15/2020,4,89
7/16/2020,5,35
7/17/2020,6,32
7/18/2020,7,276
7/19/2020,1,26
7/20/2020,2,98
7/21/2020,3,30
7/22/2020,4,41
7/23/2020,5,39
7/24/2020,6,61
7/25/2020,7,234
7/26/2020,1,43
7/27/2020,2,30
7/28/2020,3,113
7/29/2020,4,80
7/30/2020,5,69
7/31/2020,6,37
8/1/2020,7,80
8/2/2020,1,36
8/3/2020,2,14
8/4/2020,3,38
8/5/2020,4,183
8/6/2020,5,66
8/7/2020,6,73
8/8/2020,7,99
8/9/2020,1,58
8/10/2020,2,51
8/11/2020,3,65
8/12/2020,4,36
8/13/2020,5,
8/14/2020,6,55
8/15/2020,7,33
8/16/2020,1,36
8/17/2020,2,68
8/18/2020,3,55
8/19/2020,4,32
8/20/2020,5,30
8/21/2020,6,24
8/22/2020,7,44
8/23/2020,1,21
8/24/2020,2,22
8/25/2020,3,37
8/26/2020,4,60
8/27/2020,5,32
8/28/2020,6,50
8/29/2020,7,319
8/30/2020,1,52
8/31/2020,2,112
9/1/2020,3,119
9/2/2020,4,47
9/3/2020,5,31
9/4/2020,6,55
9/5/2020,7,77
9/6/2020,1,54
9/7/2020,2,152
9/8/2020,3,66
9/9/2020,4,49
9/10/2020,5,150
9/11/2020,6,29
9/12/2020,7,96
9/13/2020,1,30
9/14/2020,2,35
9/15/2020,3,29
9/16/2020,4,27
9/17/2020,5,35
9/18/2020,6,187
9/19/2020,7,106
9/20/2020,1,323
9/21/2020,2,50
9/22/2020,3,30
9/23/2020,4,66
9/24/2020,5,23
9/25/2020,6,
9/26/2020,7,123
9/27/2020,1,31
9/28/2020,2,21
9/29/2020,3,16
9/30/2020,4,22
10/1/2020,5,64
10/2/2020,6,235
10/3/2020,7,356
10/4/2020,1,30
10/5/2020,2,60
10/6/2020,3,45
10/7/2020,4,50
10/8/2020,5,43
10/9/2020,6,40
10/10/2020,7,134
10/11/2020,1,27
10/12/2020,2,43
10/13/2020,3,74
10/14/2020,4,31
10/15/2020,5,143
10/16/2020,6,61
10/17/2020,7,104
10/18/2020,1,31
10/19/2020,2,38
10/20/2020,3,47
10/21/2020,4,48
10/22/2020,5,347
10/23/2020,6,26
10/24/2020,7,43
10/25/2020,1,29
10/26/2020,2,86
10/27/2020,3,26
10/28/2020,4,9
10/29/2020,5,41
10/30/2020,6,106
10/31/2020,7,61
11/1/2020,1,46
11/2/2020,2,39
11/3/2020,3,36
11/4/2020,4,81
11/5/2020,5,34
11/6/2020,6,41
11/7/2020,7,77
11/8/2020,1,21
11/9/2020,2,212
11/10/2020,3,79
11/11/2020,4,63
11/12/2020,5,
11/13/2020,6,14
11/14/2020,7,79
11/15/2020,1,41
11/16/2020,2,26
11/17/2020,3,41
11/18/2020,4,21
11/19/2020,5,126
11/20/2020,6,30
11/21/2020,7,83
11/22/2020,1,
11/23/2020,2,24
11/24/2020,3,33
11/25/2020,4,65
11/26/2020,5,116
11/27/2020,6,31
11/28/2020,7,75
11/29/2020,1,55
11/30/2020,2,52
12/1/2020,3,72
12/2/2020,4,45
12/3/2020,5,31
12/4/2020,6,495
12/5/2020,7,129
12/6/2020,1,52
12/7/2020,2,41
12/8/2020,3,40
12/9/2020,4,122
12/10/2020,5,49
12/11/2020,6,17
12/12/2020,7,70
12/13/2020,1,46
12/14/2020,2,40
12/15/2020,3,59
12/16/2020,4,159
12/17/2020,5,39
12/18/2020,6,78
12/19/2020,7,77
12/20/2020,1,28
12/21/2020,2,60
12/22/2020,3,19
12/23/2020,4,44
12/24/2020,5,56
12/25/2020,6,52
12/26/2020,7,58
12/27/2020,1,30
12/28/2020,2,35
12/29/2020,3,27
12/30/2020,4,51
12/31/2020,5,26
1/1/2021,6,102
1/2/2021,7,112
1/3/2021,1,
1/4/2021,2,34
1/5/2021,3,60
1/6/2021,4,31
1/7/2021,5,30
1/8/2021,6,25
1/9/2021,7,83
1/10/2021,1,24
1/11/2021,2,20
1/12/2021,3,29
1/13/2021,4,139
1/14/2021,5,22
1/15/2021,6,47
1/16/2021,7,93
1/17/2021,1,
1/18/2021,2,20
1/19/2021,3,354
1/20/2021,4,29
1/21/2021,5,32
1/22/2021,6,36
1/23/2021,7,97
1/24/2021,1,80
1/25/2021,2,25
1/26/2021,3,27
1/27/2021,4,34
1/28/2021,5,159
1/29/2021,6,28
1/30/2021,7,49
1/31/2021,1,28
2/1/2021,2,22
2/2/2021,3,43
2/3/2021,4,34
2/4/2021,5,23
2/5/2021,6,24
2/6/2021,7,87
2/7/2021,1,29
2/8/2021,2,
2/9/2021,3,48
2/10/2021,4,43
2/11/2021,5,43
2/12/2021,6,153
2/13/2021,7,54
2/14/2021,1,33
2/15/2021,2,22
2/16/2021,3,30
2/17/2021,4,62
2/18/2021,5,233
2/19/2021,6,35
2/20/2021,7,92
2/21/2021,1,28
2/22/2021,2,36
2/23/2021,3,51
2/24/2021,4,33
2/25/2021,5,44
2/26/2021,6,90
2/27/2021,7,77
2/28/2021,1,26
3/1/2021,2,27
3/2/2021,3,102
3/3/2021,4,41
3/4/2021,5,29
3/5/2021,6,34
3/6/2021,7,42
3/7/2021,1,25
3/8/2021,2,76
3/9/2021,3,36
3/10/2021,4,32
3/11/2021,5,35
3/12/2021,6,38
3/13/2021,7,50
3/14/2021,1,25
3/15/2021,2,40
3/16/2021,3,125
3/17/2021,4,45
3/18/2021,5,18
3/19/2021,6,260
3/20/2021,7,83
3/21/2021,1,20
3/22/2021,2,52
3/23/2021,3,48
3/24/2021,4,46
3/25/2021,5,30
3/26/2021,6,37
3/27/2021,7,45
3/28/2021,1,39
3/29/2021,2,64
3/30/2021,3,20
3/31/2021,4,94
4/1/2021,5,59
4/2/2021,6,30
4/3/2021,7,39
4/4/2021,1,18
4/5/2021,2,58
4/6/2021,3,43
4/7/2021,4,30
4/8/2021,5,48
4/9/2021,6,25
4/10/2021,7,124
4/11/2021,1,202
4/12/2021,2,116
4/13/2021,3,42
4/14/2021,4,29
4/15/2021,5,37
4/16/2021,6,68
4/17/2021,7,63
4/18/2021,1,23
4/19/2021,2,56
4/20/2021,3,53
4/21/2021,4,36
4/22/2021,5,25
4/23/2021,6,66
4/24/2021,7,43
4/25/2021,1,36
4/26/2021,2,71
4/27/2021,3,
4/28/2021,4,21
4/29/2021,5,52
4/30/2021,6,36
5/1/2021,7,194
5/2/2021,1,22
5/3/2021,2,40
5/4/2021,3,25
5/5/2021,4,
5/6/2021,5,29
5/7/2021,6,22
5/8/2021,7,91
5/9/2021,1,33
5/10/2021,2,55
5/11/2021,3,27
5/12/2021,4,36
5/13/2021,5,29
5/14/2021,6,45
5/15/2021,7,63
5/16/2021,1,38
5/17/2021,2,56
5/18/2021,3,43
5/19/2021,4,44
5/20/2021,5,56
5/21/2021,6,28
5/22/2021,7,228
5/23/2021,1,57
5/24/2021,2,28
5/25/2021,3,75
5/26/2021,4,25
5/27/2021,5,176
5/28/2021,6,10
5/29/2021,7,33
5/30/2021,1,33
5/31/2021,2,33
6/1/2021,3,17
6/2/2021,4,25
6/3/2021,5,70
6/4/2021,6,25
6/5/2021,7,107
6/6/2021,1,28
6/7/2021,2,87
6/8/2021,3,27
6/9/2021,4,9
6/10/2021,5,21
6/11/2021,6,29
6/12/2021,7,63
6/13/2021,1,23
6/14/2021,2,23
6/15/2021,3,26
6/16/2021,4,24
6/17/2021,5,64
6/18/2021,6,55
6/19/2021,7,54
6/20/2021,1,23
6/21/2021,2,36
6/22/2021,3,15
6/23/2021,4,25
6/24/2021,5,32
6/25/2021,6,30
6/26/2021,7,114
6/27/2021,1,62
6/28/2021,2,25
6/29/2021,3,18
6/30/2021,4,18
7/1/2021,5,49
7/2/2021,6,25
7/3/2021,7,114
7/4/2021,1,32
7/5/2021,2,47
7/6/2021,3,38
7/7/2021,4,23
7/8/2021,5,56
7/9/2021,6,56
7/10/2021,7,55
7/11/2021,1,30
7/12/2021,2,442
7/13/2021,3,24
7/14/2021,4,28
7/15/2021,5,43
7/16/2021,6,41
7/17/2021,7,108
7/18/2021,1,29
7/19/2021,2,26
7/20/2021,3,73
7/21/2021,4,27
7/22/2021,5,27
7/23/2021,6,35
7/24/2021,7,62
7/25/2021,1,18
7/26/2021,2,34
7/27/2021,3,182
7/28/2021,4,38
7/29/2021,5,20
7/30/2021,6,40
7/31/2021,7,126
8/1/2021,1,25
8/2/2021,2,14
8/3/2021,3,40
8/4/2021,4,30
8/5/2021,5,25
8/6/2021,6,143
8/7/2021,7,92
8/8/2021,1,26
8/9/2021,2,25
8/10/2021,3,48
8/11/2021,4,22
8/12/2021,5,45
8/13/2021,6,24
8/14/2021,7,65
8/15/2021,1,21
8/16/2021,2,17
8/17/2021,3,19
8/18/2021,4,50
8/19/2021,5,44
8/20/2021,6,19
8/21/2021,7,60
8/22/2021,1,32
8/23/2021,2,22
8/24/2021,3,23
8/25/2021,4,21
8/26/2021,5,22
8/27/2021,6,42
8/28/2021,7,109
8/29/2021,1,58
8/30/2021,2,20
8/31/2021,3,19
9/1/2021,4,66
9/2/2021,5,27
9/3/2021,6,18
9/4/2021,7,42
9/5/2021,1,22
9/6/2021,2,29
9/7/2021,3,39
9/8/2021,4,102
9/9/2021,5,19
9/10/2021,6,45
9/11/2021,7,78
9/12/2021,1,32
9/13/2021,2,200
9/14/2021,3,19
9/15/2021,4,27
9/16/2021,5,18
9/17/2021,6,29
9/18/2021,7,58
9/19/2021,1,15
9/20/2021,2,24
9/21/2021,3,51
9/22/2021,4,60
9/23/2021,5,19
9/24/2021,6,26
9/25/2021,7,110
9/26/2021,1,12
9/27/2021,2,
9/28/2021,3,23
9/29/2021,4,49
9/30/2021,5,33
10/1/2021,6,28
10/2/2021,7,51
10/3/2021,1,52
10/4/2021,2,24
10/5/2021,3,20
10/6/2021,4,19
10/7/2021,5,24
10/8/2021,6,40
10/9/2021,7,151
10/10/2021,1,36
10/11/2021,2,18
10/12/2021,3,29
10/13/2021,4,133
10/14/2021,5,29
10/15/2021,6,40
10/16/2021,7,71
10/17/2021,1,33
10/18/2021,2,31
10/19/2021,3,10
10/20/2021,4,60
10/21/2021,5,
10/22/2021,6,31
10/23/2021,7,62
10/24/2021,1,
10/25/2021,2,26
10/26/2021,3,87
10/27/2021,4,22
10/28/2021,5,24
10/29/2021,6,
10/30/2021,7,72
10/31/2021,1,28
11/1/2021,2,24
11/2/2021,3,45
11/3/2021,4,28
11/4/2021,5,38
11/5/2021,6,24
11/6/2021,7,180
11/7/2021,1,22
11/8/2021,2,60
11/9/2021,3,21
11/10/2021,4,25
11/11/2021,5,16
11/12/2021,6,18
11/13/2021,7,69
11/14/2021,1,24
11/15/2021,2,8
11/16/2021,3,21
11/17/2021,4,
11/18/2021,5,25
11/19/2021,6,16
11/20/2021,7,118
11/21/2021,1,26
11/22/2021,2,30
11/23/2021,3,21
11/24/2021,4,50
11/25/2021,5,87
11/26/2021,6,33
11/27/2021,7,38
11/28/2021,1,25
11/29/2021,2,43
11/30/2021,3,19
12/1/2021,4,45
12/2/2021,5,19
12/3/2021,6,46
12/4/2021,7,66
12/5/2021,1,59
12/6/2021,2,28
12/7/2021,3,91
12/8/2021,4,38
12/9/2021,5,29
12/10/2021,6,215
12/11/2021,7,
12/12/2021,1,22
12/13/2021,2,42
12/14/2021,3,18
12/15/2021,4,31
12/16/2021,5,43
12/17/2021,6,37
12/18/2021,7,105
12/19/2021,1,13
12/20/2021,2,30
12/21/2021,3,230
12/22/2021,4,34
12/23/2021,5,28
12/24/2021,6,34
12/25/2021,7,35
12/26/2021,1,62
12/27/2021,2,30
12/28/2021,3,45
12/29/2021,4,23
12/30/2021,5,27
12/31/2021,6,30
1/1/2022,7,55
1/2/2022,1,27
1/3/2022,2,39
1/4/2022,3,23
1/5/2022,4,28
1/6/2022,5,20
1/7/2022,6,36
1/8/2022,7,142
1/9/2022,1,21
1/10/2022,2,17
1/11/2022,3,29
1/12/2022,4,16
1/13/2022,5,41
1/14/2022,6,20
1/15/2022,7,60
1/16/2022,1,11
1/17/2022,2,79
1/18/2022,3,21
1/19/2022,4,15
1/20/2022,5,21
1/21/2022,6,99
1/22/2022,7,99
1/23/2022,1,22
1/24/2022,2,90
1/25/2022,3,57
1/26/2022,4,19
1/27/2022,5,26
1/28/2022,6,23
1/29/2022,7,85
1/30/2022,1,87
1/31/2022,2,20
2/1/2022,3,35
2/2/2022,4,31
2/3/2022,5,42
2/4/2022,6,76
2/5/2022,7,80
2/6/2022,1,21
2/7/2022,2,47
2/8/2022,3,30
2/9/2022,4,36
2/10/2022,5,24
2/11/2022,6,31
2/12/2022,7,45
2/13/2022,1,35
2/14/2022,2,19
2/15/2022,3,21
2/16/2022,4,29
2/17/2022,5,40
2/18/2022,6,23
2/19/2022,7,66
2/20/2022,1,39
2/21/2022,2,
2/22/2022,3,72
2/23/2022,4,22
2/24/2022,5,15
2/25/2022,6,26
2/26/2022,7,
2/27/2022,1,46
2/28/2022,2,26
3/1/2022,3,89
3/2/2022,4,29
3/3/2022,5,46
3/4/2022,6,35
3/5/2022,7,75
3/6/2022,1,16
3/7/2022,2,24
3/8/2022,3,23
3/9/2022,4,49
3/10/2022,5,42
3/11/2022,6,35
3/12/2022,7,87
3/13/2022,1,28
3/14/2022,2,92
3/15/2022,3,34
3/16/2022,4,18
3/17/2022,5,
3/18/2022,6,26
3/19/2022,7,39
3/20/2022,1,28
3/21/2022,2,17
3/22/2022,3,30
3/23/2022,4,24
3/24/2022,5,33
3/25/2022,6,9
3/26/2022,7,50
3/27/2022,1,68
3/28/2022,2,10
3/29/2022,3,27
3/30/2022,4,24
3/31/2022,5,9
4/1/2022,6,27
4/2/2022,7,28
4/3/2022,1,34
4/4/2022,2,30
4/5/2022,3,40
4/6/2022,4,17
4/7/2022,5,22
4/8/2022,6,22
4/9/2022,7,51
4/10/2022,1,13
4/11/2022,2,31
4/12/2022,3,73
4/13/2022,4,75
4/14/2022,5,22
4/15/2022,6,41
4/16/2022,7,102
4/17/2022,1,21
4/18/2022,2,26
4/19/2022,3,23
4/20/2022,4,33
4/21/2022,5,66
4/22/2022,6,
4/23/2022,7,43
4/24/2022,1,23
4/25/2022,2,93
4/26/2022,3,15
4/27/2022,4,29
4/28/2022,5,17
4/29/2022,6,35
4/30/2022,7,
5/1/2022,1,213
5/2/2022,2,50
5/3/2022,3,33
5/4/2022,4,
5/5/2022,5,26
5/6/2022,6,27
5/7/2022,7,72
5/8/2022,1,21
5/9/2022,2,17
5/10/2022,3,21
5/11/2022,4,33
5/12/2022,5,27
5/13/2022,6,23
5/14/2022,7,82
5/15/2022,1,44
5/16/2022,2,62
5/17/2022,3,33
5/18/2022,4,29
5/19/2022,5,30
5/20/2022,6,27
5/21/2022,7,31
5/22/2022,1,52
5/23/2022,2,167
5/24/2022,3,25
5/25/2022,4,15
5/26/2022,5,28
5/27/2022,6,13
5/28/2022,7,47
5/29/2022,1,22
5/30/2022,2,23
5/31/2022,3,36
6/1/2022,4,46
6/2/2022,5,28
6/3/2022,6,36
6/4/2022,7,184
6/5/2022,1,27
6/6/2022,2,32
6/7/2022,3,38
6/8/2022,4,42
6/9/2022,5,26
6/10/2022,6,24
6/11/2022,7,53
6/12/2022,1,29
6/13/2022,2,36
6/14/2022,3,23
6/15/2022,4,
6/16/2022,5,18
6/17/2022,6,62
6/18/2022,7,70
6/19/2022,1,23
6/20/2022,2,33
6/21/2022,3,28
6/22/2022,4,32
6/23/2022,5,26
6/24/2022,6,74
6/25/2022,7,62
6/26/2022,1,24
6/27/2022,2,
6/28/2022,3,30
6/29/2022,4,31
6/30/2022,5,28
7/1/2022,6,43
7/2/2022,7,419
7/3/2022,1,57
7/4/2022,2,37
7/5/2022,3,29
7/6/2022,4,21
7/7/2022,5,11
7/8/2022,6,24
7/9/2022,7,58
7/10/2022,1,24
7/11/2022,2,43
7/12/2022,3,36
7/13/2022,4,17
7/14/2022,5,54
7/15/2022,6,23
7/16/2022,7,40
7/17/2022,1,27
7/18/2022,2,26
7/19/2022,3,18
7/20/2022,4,29
7/21/2022,5,20
7/22/2022,6,38
7/23/2022,7,
7/24/2022,1,25
7/25/2022,2,34
7/26/2022,3,23
7/27/2022,4,55
7/28/2022,5,25
7/29/2022,6,44
7/30/2022,7,
7/31/2022,1,15
8/1/2022,2,16
8/2/2022,3,42
8/3/2022,4,41
8/4/2022,5,16
8/5/2022,6,104
8/6/2022,7,139
8/7/2022,1,51
8/8/2022,2,15
8/9/2022,3,42
8/10/2022,4,
8/11/2022,5,40
8/12/2022,6,39
8/13/2022,7,87
8/14/2022,1,23
8/15/2022,2,30
8/16/2022,3,26
8/17/2022,4,
8/18/2022,5,24
8/19/2022,6,32
8/20/2022,7,42
8/21/2022,1,24
8/22/2022,2,21
8/23/2022,3,23
8/24/2022,4,52
8/25/2022,5,23
8/26/2022,6,16
8/27/2022,7,56
8/28/2022,1,80
8/29/2022,2,36
8/30/2022,3,15
8/31/2022,4,35
9/1/2022,5,
9/2/2022,6,19
9/3/2022,7,64
9/4/2022,1,18
9/5/2022,2,43
9/6/2022,3,34
9/7/2022,4,26
9/8/2022,5,37
9/9/2022,6,39
9/10/2022,7,
9/11/2022,1,173
9/12/2022,2,20
9/13/2022,3,36
9/14/2022,4,21
9/15/2022,5,32
9/16/2022,6,29
9/17/2022,7,94
9/18/2022,1,27
9/19/2022,2,29
9/20/2022,3,87
9/21/2022,4,55
9/22/2022,5,16
9/23/2022,6,28
9/24/2022,7,36
9/25/2022,1,41
9/26/2022,2,86
9/27/2022,3,15
9/28/2022,4,18
9/29/2022,5,49
9/30/2022,6,25
10/1/2022,7,94
10/2/2022,1,24
10/3/2022,2,19
10/4/2022,3,45
10/5/2022,4,32
10/6/2022,5,34
10/7/2022,6,60
10/8/2022,7,89
10/9/2022,1,286
10/10/2022,2,40
10/11/2022,3,25
10/12/2022,4,103
10/13/2022,5,31
10/14/2022,6,23
10/15/2022,7,108
10/16/2022,1,11
10/17/2022,2,25
10/18/2022,3,32
10/19/2022,4,24
10/20/2022,5,29
10/21/2022,6,70
10/22/2022,7,147
10/23/2022,1,23
10/24/2022,2,27
10/25/2022,3,20
10/26/2022,4,22
10/27/2022,5,35
10/28/2022,6,25
10/29/2022,7,79
10/30/2022,1,31
10/31/2022,2,32
11/1/2022,3,31
11/2/2022,4,36
11/3/2022,5,15
11/4/2022,6,
11/5/2022,7,64
11/6/2022,1,22
11/7/2022,2,28
11/8/2022,3,20
11/9/2022,4,33
11/10/2022,5,26
11/11/2022,6,32
11/12/2022,7,31
11/13/2022,1,20
11/14/2022,2,32
11/15/2022,3,21
11/16/2022,4,35
11/17/2022,5,19
11/18/2022,6,
11/19/2022,7,211
11/20/2022,1,43
11/21/2022,2,75
11/22/2022,3,28
11/23/2022,4,31
11/24/2022,5,27
11/25/2022,6,78
11/26/2022,7,
11/27/2022,1,43
11/28/2022,2,28
11/29/2022,3,27
11/30/2022,4,37
12/1/2022,5,23
12/2/2022,6,19
12/3/2022,7,82
12/4/2022,1,44
12/5/2022,2,
12/6/2022,3,17
12/7/2022,4,24
12/8/2022,5,35
12/9/2022,6,47
12/10/2022,7,
12/11/2022,1,22
12/12/2022,2,40
12/13/2022,3,23
12/14/2022,4,18
12/15/2022,5,20
12/16/2022,6,38
12/17/2022,7,39
12/18/2022,1,24
12/19/2022,2,40
12/20/2022,3,
12/21/2022,4,27
12/22/2022,5,
12/23/2022,6,65
12/24/2022,7,72
12/25/2022,1,41
12/26/2022,2,21
12/27/2022,3,28
12/28/2022,4,40
12/29/2022,5,
12/30/2022,6,23
12/31/2022,7,50
1/1/2023,1,22
1/2/2023,2,57
1/3/2023,3,33
1/4/2023,4,17
1/5/2023,5,31
1/6/2023,6,34
1/7/2023,7,62
1/8/2023,1,34
1/9/2023,2,40
1/10/2023,3,152
1/11/2023,4,30
1/12/2023,5,31
1/13/2023,6,31
1/14/2023,7,53
1/15/2023,1,27
1/16/2023,2,26
1/17/2023,3,28
1/18/2023,4,36
1/19/2023,5,21
1/20/2023,6,19
1/21/2023,7,91
1/22/2023,1,19
1/23/2023,2,87
1/24/2023,3,20
1/25/2023,4,27
1/26/2023,5,13
1/27/2023,6,39
1/28/2023,7,48
1/29/2023,1,40
1/30/2023,2,29
1/31/2023,3,27
2/1/2023,4,35
2/2/2023,5,22
2/3/2023,6,40
2/4/2023,7,404
2/5/2023,1,123
2/6/2023,2,20
2/7/2023,3,55
2/8/2023,4,16
2/9/2023,5,38
2/10/2023,6,28
2/11/2023,7,48
2/12/2023,1,46
2/13/2023,2,28
2/14/2023,3,15
2/15/2023,4,24
2/16/2023,5,23
2/17/2023,6,19
2/18/2023,7,49
2/19/2023,1,16
2/20/2023,2,19
2/21/2023,3,22
2/22/2023,4,19
2/23/2023,5,29
2/24/2023,6,22
2/25/2023,7,43
2/26/2023,1,23
2/27/2023,2,47
2/28/2023,3,230
3/1/2023,4,
3/2/2023,5,27
3/3/2023,6,26
3/4/2023,7,199
3/5/2023,1,12
3/6/2023,2,18
3/7/2023,3,
3/8/2023,4,
3/9/2023,5,
3/10/2023,6,
3/11/2023,7,127
3/12/2023,1,44
3/13/2023,2,25
3/14/2023,3,21
3/15/2023,4,21
3/16/2023,5,20
3/17/2023,6,31
3/18/2023,7,19